Num,ID
3,ENSG00000198888
4,ENSG00000198763
6,ENSG00000198804
7,ENSG00000198712
8,ENSG00000228253
9,ENSG00000198899
10,ENSG00000198938
11,ENSG00000198840
12,ENSG00000212907
13,ENSG00000198886
14,ENSG00000198786
15,ENSG00000198695
16,ENSG00000198727
19,ENSG00000177951
20,ENSG00000177947
21,ENSG00000177963
22,ENSG00000142082
23,ENSG00000185627
24,ENSG00000142102
25,ENSG00000185201
26,ENSG00000185885
27,ENSG00000142089
28,ENSG00000182272
29,ENSG00000184363
30,ENSG00000185187
31,ENSG00000185101
32,ENSG00000174915
33,ENSG00000023191
35,ENSG00000174775
36,ENSG00000161328
37,ENSG00000185522
38,ENSG00000099849
40,ENSG00000070047
41,ENSG00000185507
42,ENSG00000099834
43,ENSG00000069696
44,ENSG00000177030
46,ENSG00000177106
47,ENSG00000177042
48,ENSG00000177156
49,ENSG00000177225
53,ENSG00000184524
54,ENSG00000177542
55,ENSG00000177595
56,ENSG00000177600
57,ENSG00000177666
58,ENSG00000177685
59,ENSG00000177697
60,ENSG00000177700
61,ENSG00000214063
63,ENSG00000177830
64,ENSG00000183020
65,ENSG00000184956
67,ENSG00000215182
68,ENSG00000117983
69,ENSG00000078902
71,ENSG00000174672
72,ENSG00000182208
73,ENSG00000184545
75,ENSG00000205869
76,ENSG00000244242
77,ENSG00000117984
80,ENSG00000130592
81,ENSG00000214026
84,ENSG00000167244
85,ENSG00000110665
86,ENSG00000064201
88,ENSG00000110651
89,ENSG00000184281
90,ENSG00000053918
92,ENSG00000129757
93,ENSG00000110628
94,ENSG00000205531
97,ENSG00000110619
99,ENSG00000021762
100,ENSG00000005801
103,ENSG00000129749
104,ENSG00000110713
105,ENSG00000148985
107,ENSG00000177105
109,ENSG00000167323
113,ENSG00000167325
114,ENSG00000132109
115,ENSG00000167333
116,ENSG00000244734
118,ENSG00000121236
119,ENSG00000132256
120,ENSG00000132274
122,ENSG00000180878
123,ENSG00000051009
124,ENSG00000132259
125,ENSG00000110148
126,ENSG00000170955
127,ENSG00000166311
128,ENSG00000166313
129,ENSG00000110169
130,ENSG00000110171
131,ENSG00000132254
132,ENSG00000132286
134,ENSG00000179532
135,ENSG00000132275
136,ENSG00000166333
137,ENSG00000166337
138,ENSG00000166340
139,ENSG00000166341
140,ENSG00000158042
143,ENSG00000184933
145,ENSG00000166363
146,ENSG00000170782
147,ENSG00000166368
148,ENSG00000178358
149,ENSG00000149054
150,ENSG00000149050
151,ENSG00000158077
152,ENSG00000170743
154,ENSG00000183801
155,ENSG00000166387
156,ENSG00000166394
157,ENSG00000183378
158,ENSG00000175390
159,ENSG00000166402
162,ENSG00000166405
163,ENSG00000166407
164,ENSG00000130413
165,ENSG00000166436
166,ENSG00000166441
167,ENSG00000166444
169,ENSG00000166452
170,ENSG00000176029
171,ENSG00000175348
173,ENSG00000175352
175,ENSG00000175356
176,ENSG00000184014
178,ENSG00000166471
